,users,yields,followers
413,vitalik1983i,0.0,0
414,Vohan777,-0.44,0
415,Sogi7,32.09,4
416,Mr.GOST,-9.36,1
417,Baton047,-5.85,11
418,Mahounis,5.11,0
419,hpokalka,22.81,61
420,shkribliugli,57.14,0
421,SvetSvet1,29.82,46
422,YAN18rus,4.81,0
423,Kepler60rus,0.0,2
424,Olka585,91.87,0
425,Ruz01,-288.78,16
426,ArtemiyBIG,-6.25,3
427,TUDA_SUDA,105.95,195
428,Lumenn,56.56,6
429,QjuniorQ,18.08,0
430,bolshiemashini,-38.33,21
431,Christina_ria,121.91,46
432,Chulc,-120.14,38
433,Victor_MGN,31.31,13
434,Sevesta87,2.19,0
435,kalashnikovaalla,0.0,0
436,AlesValerievich,54.63,1
437,BlackPanther_,0.0,0
438,MACTEPcXAPAKTEPOM,-65.3,27
439,Paul1974,97.39,16
440,dzergun,39.32,15
441,BankingLab.ru,-29.65,3
442,PetyaKamushkin,7.0,14
443,Busii,22.13,3
444,cepega1818,46.5,0
445,Lemon_Invest,9.82,87
446,Evg_5,0.0,0
447,andreus72,23.75,0
448,Ierih0n,93.73,14
449,Observer4,4.88,1
450,ICG,39.28,1023
451,michaell23,0.0,0
452,Aidarov888,36.46,17
453,Sabina1990,6.7,0
454,Goodwin272,25.83,0
455,Aleksandr_Skofild,16.27,40
456,Lanayu,-9.24,0
457,KUKLAmoscow,8.3,9
458,Dim555,11.0,98
459,AndreyFish,-61.74,0
460,commercial_real_estate,26.06,71
461,MisterBilligan,-38.82,18
462,Fronzak1,20.72,2
463,Teleporter,-76.69,2
464,pridurki,-31.11,0
465,pahaxxxxx,-61.4,0
466,m.Mavrodi,-37.17,2
467,FreakMan,4.64,3
468,tsibrin,29.76,0
469,Kitten_in_the_sun,13.93,6
470,BuduDvigat,61.54,39
471,Sergorius,4.94,106
472,Kh.Rush,102.47,1
473,ga_increator,37.82,2
474,hor_molekul,-60.28,7
475,GrafBezuhov,0.0,0
476,Androidddd,-27.19,0
477,Serega15081988,1.07,1
478,Global_Trading,14.47,3
479,investorrr134,0.04,0
480,Smila30,-75.37,2
481,Woruga,-59.25,1
482,Kazax_2022,14.05,2
483,maxim606,25.55,1
484,JIyHTuK,-1.5,7
485,jkeynonfrost,-19.7,1
486,Geotrupes,36.39,0
487,etojepgg,0.0,0
488,Sega2424,8.13,0
489,Smaug_Golden,0.0,0
490,KonstantinBasalov,52.1,3
491,Nengrimm,0.33,2
492,ZKonst,37.84,1
493,Conemasom,5.07,0
494,Viktory_One,51.1,0
495,NIGHT_WOLF_323,-11.99,1
496,Kreml12,25.75,0
497,Katana_Capital,13.12,1
498,Snow737,2056.84,1
499,heartsker,9.58,33
500,ZybZybTroll,-0.57,1
501,lechii1983,-54.96,1
502,Klassnayapiramida,-0.96,1
503,ddose,-14.06,0
504,Bogdanov.I,22.41,22
505,BlossomDream,-25.97,12
506,Stasey15,17.47,12
507,Traveller_88,-21.48,1
508,extinkt,13.37,3
509,Qrafzv,-32.19,0
510,sss1996,0.0,0
511,DerzhiMorda1,15.81,3
512,sobbaken,-164.34,24
513,RamireS_,-154.02,14
514,Eminenty,0.0,0
515,ErmakE,-159.33,19
516,Bugs_BunnyCrazy,-43.98,8559
517,AbsoluteTrading,0.0,61
518,Wasver,0.04,1
519,Nostradatus,-51.03,1
520,Polinaaa_98,5.63,3
521,Drobushevskiy,41.45,34
522,IIIIIIIIIII,527.59,22
523,EM_,-54.73,17
524,Krik2023,8.02,0
525,Haisenberg163,-113.27,32
526,Dushelov,2.41,3
527,Vlad_K7,15.16,0
528,alg2,26.25,0
529,Taurusox,43.55,3
530,Zheludev87,-55.51,1
531,ThisIsThe_Way,-33.59,328
532,Romaro043,2.14,14
533,ALPandGOLD,0.0,0
534,dmtkl,-155.13,9
535,Ixen_,19.7,0
536,ARTY_A,-156.54,1
537,stella_doma,-0.21,5
538,AlexanderGolubnichi,-254.66,12
539,logrus2006,121.31,12
540,alexRZ,19.1,4
541,denis_evlanov,21.91,0
542,Vano_Perepelidze,3.37,1
543,VasyaBuldozer,-147.75,174
544,ignatenkobond91,-4.32,6
545,Cofeeld,1.51,96
546,FedorPudge,592.77,5
547,Kyzma,-47.97,24
548,SIMTrio,40.31,8
549,kuzmich85,26.39,0
550,firedice,7.14,1
551,lous.el,12.37,0
552,NightFox95,0.0,0
553,bornov,53.14,0
554,Alex9090Gen,-8.92,3
555,bez_pan,60.61,7
556,Yoshkarolines,15.91,4
557,FIXSGAMEEE,4.26,5
558,AbobaPwnz,1.93,0
559,Yavasspasy,-122.77,8
560,damirzero007,28.72,1
561,MUTIMKRUTIM,19.52,1
562,White8,1673.03,0
563,baiden,23.45,4
564,Paul_spec,56.42,4
565,Oleggggggggggggggggg,15.67,0
566,darpnz,-18.28,62
567,rebzja,24.58,0
568,Engineeer,7.44,2
569,Shortpobieri,14.96,4
570,Nostin,-8.39,0
571,qzvp,-5.23,4
572,AgrEnot,16.51,0
